,is_paid,price,num_subscribers,level,content_duration,subject
127,True,90,4022,Expert Level,1.0,Business Finance
128,False,0,11724,Beginner Level,1.5,Business Finance
129,True,20,2283,Intermediate Level,2.0,Business Finance
130,True,35,1181,Beginner Level,1.0,Business Finance
131,True,50,1852,All Levels,2.5,Business Finance
132,True,100,4661,All Levels,1.0,Business Finance
133,True,50,989,All Levels,1.0,Business Finance
134,True,20,5841,All Levels,1.5,Business Finance
135,True,200,1087,All Levels,9.5,Business Finance
136,True,200,611,Beginner Level,1.0,Business Finance
137,True,60,1922,All Levels,20.0,Business Finance
138,True,150,9015,All Levels,2.5,Business Finance
139,True,20,661,All Levels,1.0,Business Finance
140,True,105,1077,Beginner Level,6.0,Business Finance
141,True,20,6050,Beginner Level,1.5,Business Finance
142,True,150,3523,All Levels,4.0,Business Finance
143,False,0,56659,Beginner Level,1.5,Business Finance
144,True,100,1444,Beginner Level,5.0,Business Finance
145,True,60,2900,Intermediate Level,2.5,Business Finance
146,True,200,1437,Beginner Level,2.5,Business Finance
147,True,200,453,Intermediate Level,3.0,Business Finance
148,True,20,2437,All Levels,1.5,Business Finance
149,True,30,5057,Beginner Level,1.0,Business Finance
150,True,95,6092,Beginner Level,1.5,Business Finance
151,True,95,4530,All Levels,1.5,Business Finance
152,True,60,6967,All Levels,1.0,Business Finance
153,True,20,727,Beginner Level,3.0,Business Finance
154,True,20,1560,All Levels,3.0,Business Finance
155,True,200,1047,All Levels,3.5,Business Finance
156,True,125,1045,Intermediate Level,1.0,Business Finance
157,True,200,3050,Beginner Level,2.0,Business Finance
158,True,200,2988,All Levels,4.5,Business Finance
159,True,35,2623,Beginner Level,1.0,Business Finance
160,True,200,1924,All Levels,46.5,Business Finance
161,True,200,3804,All Levels,5.0,Business Finance
162,True,120,4133,Beginner Level,4.0,Business Finance
163,True,195,1420,All Levels,2.5,Business Finance
164,True,125,1120,Beginner Level,3.0,Business Finance
165,True,200,668,All Levels,1.0,Business Finance
166,True,25,4086,All Levels,1.5,Business Finance
167,True,200,1033,All Levels,2.0,Business Finance
168,True,20,832,All Levels,1.5,Business Finance
169,True,195,677,All Levels,4.5,Business Finance
170,True,20,3125,Beginner Level,2.0,Business Finance
171,True,50,1081,All Levels,1.5,Business Finance
172,True,200,1645,All Levels,2.0,Business Finance
173,True,120,3348,All Levels,3.0,Business Finance
174,True,200,939,All Levels,1.5,Business Finance
175,True,200,2115,All Levels,5.5,Business Finance
176,True,45,2230,All Levels,1.5,Business Finance
177,True,50,2053,All Levels,5.5,Business Finance
178,True,80,1793,Beginner Level,10.0,Business Finance
179,False,0,3775,Beginner Level,2.0,Business Finance
180,True,200,521,All Levels,3.0,Business Finance
181,True,20,2222,All Levels,0.7,Business Finance
182,True,50,1097,Intermediate Level,1.0,Business Finance
183,True,200,2506,Beginner Level,6.0,Business Finance
