,n_enrolled,Level,subject,language,subtitles,price
257,62099.0,Intermediate,Business & Management,English,English,49.0
258,86923.0,Introductory,Computer Science,English,English,169.0
259,13566.0,Introductory,Art & Culture,English,English,65.0
260,150855.0,Advanced,Computer Science,English,English,249.0
261,98517.0,Introductory,Business & Management,Español,Español,50.0
262,36085.0,Introductory,Business & Management,English,English,225.0
263,55926.0,Introductory,Business & Management,English,English,99.0
264,131197.0,Introductory,Math,English,English,139.0
265,11823.0,Introductory,Engineering,English,English,139.0
266,107770.0,Introductory,Communication,English,English,50.0
267,51969.0,Introductory,Biology & Life Sciences,English,English,49.0
268,10897.0,Introductory,Business & Management,English,"English, Español",49.0
269,26675.0,Intermediate,Business & Management,English,English,199.0
270,14726.0,Introductory,Social Sciences,Español,Español,49.0
271,27757.0,Introductory,Computer Science,Español,Español,49.0
272,56016.0,Introductory,Business & Management,English,English,99.0
273,18830.0,Introductory,Social Sciences,Español,Español,49.0
274,53664.0,Introductory,Economics & Finance,English,English,49.0
275,21535.0,Introductory,Math,English,English,50.0
276,88570.0,Intermediate,Computer Science,English,English,49.0
277,19614.0,Introductory,Business & Management,Español,Español,149.0
278,8862.0,Intermediate,Business & Management,English,English,149.0
279,40972.0,Intermediate,Engineering,English,English,50.0
280,12948.0,Intermediate,Design,English,English,99.0
281,69358.0,Intermediate,Economics & Finance,English,English,25.0
282,49189.0,Introductory,Economics & Finance,Español,"Español, Español",25.0
283,53788.0,Introductory,Computer Science,English,English,99.0
284,61722.0,Intermediate,Computer Science,English,English,149.0
285,54976.0,Intermediate,Math,English,English,99.0
286,55576.0,Intermediate,Math,English,English,49.0
287,12133.0,Introductory,Medicine,Español,Español,49.0
288,60713.0,Introductory,Business & Management,English,English,150.0
289,35058.0,Intermediate,Language,Italiano,Italiano,49.0
290,9796.0,Introductory,Social Sciences,English,English,50.0
291,66769.0,Introductory,Business & Management,English,English,199.0
292,22366.0,Intermediate,Math,English,English,49.0
293,55376.0,Intermediate,Computer Science,English,English,99.0
294,8314.0,Introductory,Data Analysis & Statistics,English,English,49.0
295,34337.0,Introductory,Language,English,English,149.0
296,36665.0,Introductory,Language,English,English,99.0
297,84270.0,Introductory,Humanities,English,English,49.0
298,11046.0,Introductory,Architecture,English,English,49.0
299,22723.0,Introductory,Social Sciences,English,English,49.0
300,8146.0,Intermediate,Business & Management,English,English,149.0
301,15650.0,Introductory,Humanities,English,English,49.0
302,28710.0,Introductory,Medicine,English,English,149.0
303,17554.0,Introductory,Social Sciences,Español,English,25.0
304,13954.0,Introductory,Design,English,English,99.0
305,7958.0,Introductory,Education & Teacher Training,Español,"English, Español",49.0
306,31511.0,Introductory,Computer Science,English,English,99.0
307,29614.0,Introductory,Communication,Español,Español,49.0
308,82008.0,Advanced,Data Analysis & Statistics,English,English,350.0
309,103224.0,Introductory,Math,English,English,50.0
310,58834.0,Introductory,Language,English,English,49.0
311,36195.0,Intermediate,Data Analysis & Statistics,English,English,99.0
312,36663.0,Introductory,Computer Science,Español,Español,50.0
313,81839.0,Introductory,Science,English,English,199.0
314,16619.0,Intermediate,Environmental Studies,English,"English, हिन्दी",49.0
315,38060.0,Introductory,Humanities,English,English,99.0
316,69413.0,Introductory,Business & Management,English,English,49.0
317,103010.0,Introductory,Math,English,English,49.0
318,16220.0,Introductory,Education & Teacher Training,English,English,49.0
319,13853.0,Intermediate,Economics & Finance,English,English,25.0
320,17273.0,Intermediate,Health & Safety,English,English,49.0
321,69182.0,Intermediate,Computer Science,English,English,49.0
322,42135.0,Introductory,Biology & Life Sciences,English,English,49.0
323,50240.0,Introductory,Business & Management,English,English,50.0
324,23288.0,Intermediate,Economics & Finance,English,English,25.0
325,49319.0,Introductory,Biology & Life Sciences,English,English,49.0
326,85786.0,Introductory,Computer Science,Español,Español,50.0
327,51744.0,Introductory,Humanities,English,English,99.0
328,31838.0,Advanced,Engineering,English,English,199.0
329,98113.0,Introductory,Computer Science,English,English,125.0
330,21440.0,Introductory,Computer Science,English,English,199.0
331,71085.0,Introductory,Business & Management,English,"English, हिन्दी",150.0
332,7303.0,Introductory,Data Analysis & Statistics,Español,Español,39.0
333,18692.0,Intermediate,Biology & Life Sciences,English,English,150.0
334,10500.0,Introductory,Science,Español,"English, Español",29.0
335,27144.0,Intermediate,Food & Nutrition,English,English,99.0
336,31570.0,Introductory,Computer Science,English,English,149.0
337,93633.0,Introductory,Computer Science,English,English,149.0
338,7233.0,Introductory,Computer Science,English,English,199.0
339,15594.0,Introductory,Language,English,English,99.0
340,21419.0,Introductory,Business & Management,Español,Español,149.0
341,18660.0,Introductory,Design,English,English,249.0
342,22717.0,Introductory,Data Analysis & Statistics,Español,Español,49.0
343,17931.0,Introductory,Computer Science,Español,Español,49.0
344,98553.0,Intermediate,Computer Science,English,"English, 中文",99.0
345,78232.0,Introductory,Computer Science,English,English,199.0
346,18470.0,Introductory,Communication,Español,Español,149.0
347,10954.0,Introductory,Humanities,Español,Español,49.0
348,37564.0,Intermediate,Data Analysis & Statistics,English,English,99.0
349,39155.0,Introductory,Computer Science,Español,Español,49.0
350,67961.0,Introductory,Medicine,English,English,169.0
351,35720.0,Intermediate,Communication,English,English,49.0
352,27239.0,Introductory,Computer Science,English,English,99.0
353,6703.0,Introductory,Data Analysis & Statistics,English,English,49.0
354,51493.0,Introductory,Biology & Life Sciences,English,English,49.0
355,35529.0,Intermediate,Physics,English,English,49.0
356,30313.0,Introductory,Communication,English,English,49.0
357,39113.0,Introductory,Business & Management,English,English,49.0
358,21972.0,Intermediate,Humanities,English,English,49.0
359,45145.0,Advanced,Business & Management,English,English,150.0
360,51402.0,Intermediate,Computer Science,English,English,149.0
361,17484.0,Introductory,Humanities,English,English,49.0
362,6558.0,Introductory,Communication,English,English,199.0
363,42262.0,Introductory,Business & Management,English,English,79.0
364,31326.0,Introductory,Business & Management,English,English,49.0
365,6528.0,Intermediate,Economics & Finance,English,English,49.0
366,54075.0,Intermediate,Computer Science,English,English,149.0
367,31024.0,Intermediate,Economics & Finance,English,English,25.0
368,13608.0,Intermediate,Computer Science,English,English,99.0
369,44252.0,Introductory,Humanities,English,English,60.0
370,43981.0,Introductory,Humanities,English,English,49.0
371,16029.0,Introductory,Engineering,Español,Español,50.0
372,35440.0,Introductory,Computer Science,English,English,99.0
373,16268.0,Intermediate,Data Analysis & Statistics,Español,Español,49.0
374,25553.0,Introductory,Business & Management,English,English,49.0
375,6431.0,Introductory,Data Analysis & Statistics,Español,Español,49.0
376,28112.0,Introductory,Computer Science,English,English,99.0
377,18613.0,Introductory,Design,Español,Español,15.0
378,18595.0,Introductory,Education & Teacher Training,English,"English, Español, Français, 中文",25.0
379,10265.0,Intermediate,Computer Science,Español,Español,50.0
380,17344.0,Intermediate,Economics & Finance,Español,Español,49.0
381,6341.0,Introductory,Biology & Life Sciences,Español,Español,29.0
382,36917.0,Introductory,Biology & Life Sciences,English,English,49.0
383,35524.0,Advanced,Computer Science,English,English,125.0
384,13042.0,Intermediate,Engineering,English,English,150.0
385,13036.0,Introductory,Art & Culture,Español,Español,49.0
386,39398.0,Advanced,Humanities,Italiano,Italiano,49.0
387,9715.0,Introductory,Computer Science,English,English,150.0
388,43415.0,Advanced,Business & Management,English,English,214.0
389,18974.0,Introductory,Business & Management,English,English,49.0
390,82210.0,Intermediate,Business & Management,English,,249.0
391,35811.0,Introductory,Math,Español,Español,50.0
392,86850.0,Advanced,Computer Science,English,English,199.0
393,68706.0,Introductory,Computer Science,English,English,139.0
394,43401.0,Introductory,Physics,English,English,49.0
395,12005.0,Introductory,Humanities,English,English,49.0
396,32726.0,Introductory,Computer Science,English,English,49.0
397,23808.0,Intermediate,Business & Management,English,English,149.0
398,44642.0,Introductory,Business & Management,English,English,79.0
399,50588.0,Intermediate,Computer Science,English,English,249.0
400,6293.0,Introductory,Business & Management,English,English,149.0
401,33303.0,Introductory,Art & Culture,English,English,149.0
402,270376.0,Introductory,Computer Science,English,English,99.0
403,7165.0,Introductory,Communication,Español,Español,29.0
